Date,Company,Title,Level,Standard Level,Skill Index,Location,Total Yearly Compensation,Base Salary (/year),Stock Grant (/year),Bonus (/year),Years of Experience,Years at Company,Tag,Gender,Other Details
2/13/2020,Yahoo,Software Engineer,Senior Software Engineer,Senior Engineer,42.02,"Sunnyvale, CA",274000,186000,60000,28000,12,7,Distributed Systems (Back-End),Male,
2/13/2020,Yandex,Software Engineer,G14,Entry Level Engineer,3.16,"Moscow, MC, Russia",20000,20000,,0,1,1,Full Stack,Male,
2/13/2020,verizon media,Software Engineer,SDE 2,,,"Sunnyvale, CA",185000,150000,20000,15000,4,2,Distributed Systems (Back-End),Female,
2/13/2020,T-Mobile,Software Engineer,Principal Engineer,Senior Engineer,62.62,"Bellevue, WA",231000,180000,15000,36000,3,2,Networking,,Masters
2/13/2020,Salesforce,Software Engineer,MTS,Software Engineer,26,"San Francisco, CA",184000,148000,22000,14000,2,2,Full Stack,Male,Masters
2/13/2020,Epic Systems,Software Engineer,Software Developer,,,"Madison, WI",96000,90000,,6000,0,0,API Development (Back-End),Male,"Epic give a 5k raise after training, usually around 3 months"
2/13/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Arlington, VA",170000,132000,25000,12000,1,0,API Development (Back-End),Male,
2/13/2020,Smartsheet,Software Engineer,Senior,,,"Seattle, WA",245000,165000,55000,25000,30,1,Full Stack,Male,
2/13/2020,Stitch Fix,Software Engineer,L5,,,"Indianapolis, IN",153000,153000,,0,15,0.5,Full Stack,Female,
2/13/2020,Bloomberg,Software Engineer,Software Engineer,Entry Level Engineer,15.59,"New York, NY",169000,151000,,18000,1,1,Full Stack,Male,Masters
2/13/2020,Airbnb,Software Engineer,L4,Software Engineer,34.94,"San Francisco, CA",340000,172000,148000,20000,2,2,ML / AI,Other,
2/13/2020,eBay,Software Engineer,MTS 2,Senior Engineer,60.5,"San Jose, CA",290000,202000,51000,37000,11,7,ML / AI,Female,PhD
2/13/2020,Mathworks,Software Engineer,E4,,,"Natick, MA",200000,175000,,25000,15,11,API Development (Back-End),Male,Masters
2/13/2020,Cisco,Software Engineer,Software Engineer III,Software Engineer,26.8,"San Jose, CA",176000,140000,20000,16000,3,0,Networking,Male,Masters
2/13/2020,Cisco,Software Engineer,Software Engineer III,Software Engineer,26.8,"San Jose, CA",170000,130000,25000,15000,9,1,Testing (SDET),Male,
2/13/2020,Microsoft,Software Engineer,60,Entry Level Engineer,11.93,"Redmond, WA",161000,123000,25000,13000,3,0,Distributed Systems (Back-End),Male,30k sign on bonus
2/13/2020,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Redmond, WA",155000,140000,17000,3000,7,2,API Development (Back-End),,
2/13/2020,Microsoft,Software Engineer,60,Entry Level Engineer,11.93,"Bangalore, KA, India",40000,28000,7000,0,2,2,Distributed Systems (Back-End),Male,Singing bonus - 5600 USD - Masters
2/13/2020,Meijer,Software Engineer,Senior,,,"Grand Rapids, MI",103000,103000,,0,4,6,Android,Male,
2/13/2020,Bloomberg,Software Engineer,Software Engineer,Entry Level Engineer,15.59,"New York, NY",173000,151000,,22000,2,2,API Development (Back-End),Male,Masters
2/13/2020,Amazon,Software Engineer,SDE III,Senior Engineer,55.98,"Sunnyvale, CA",365000,175000,190000,0,10,8,Distributed Systems (Back-End),Male,Masters
2/13/2020,Fedex,Software Engineer,Software Developer II,,,"Memphis, TN",80000,76000,,4000,2,1,ML / AI,Male,Masters
2/13/2020,"Lexicon Networks, Inc.",Software Engineer,Senior,,,"Bloomingdale, IL",65000,65000,,0,10,2,Full Stack,Male,
2/13/2020,Valassis,Software Engineer,Senior Staff Software Engineer,,,"Austin, TX",125000,125000,,3000,12,8,Distributed Systems (Back-End),Female,
2/13/2020,Bloomberg,Software Engineer,Senior Software Engineer,Staff Engineer,65.59,"New York, NY",265000,215000,,50000,15,3,Full Stack,Male,
2/14/2019,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Seattle, WA",205000,165000,20000,20000,10,1,Distributed Systems (Back-End),Male,
2/14/2019,Dropbox,Software Engineer,IC3,Senior Engineer,50.51,"San Francisco, CA",260000,160000,70000,30000,12,1,Full Stack,Male,
2/14/2019,Capital One,Software Engineer,Software Eng,Software Engineer,20.19,"Vienna, VA",124000,116000,,8000,1,0,API Development (Back-End),Male,
2/14/2019,Microsoft,Software Engineer,64,Senior Engineer,50.57,"Bellevue, WA",250000,160000,60000,30000,10,8,Distributed Systems (Back-End),Male,
2/14/2019,Yahoo,Software Engineer,Senior Software Engineer,Senior Engineer,42.02,"Sunnyvale, CA",197000,,,,7,7,Web Development (Front-End),Male,
2/14/2019,Amazon,Software Engineer,SDE III,Senior Engineer,55.98,"Seattle, WA",275000,150000,100000,25000,10,5,Full Stack,Male,
2/14/2019,Microsoft,Software Engineer,64,Senior Engineer,50.57,"Seattle, WA",260000,170000,50000,40000,13,7,Distributed Systems (Back-End),,
2/14/2019,Qualcomm,Software Engineer,Senior Engineer,Software Engineer,29,"San Diego, CA",144000,114000,17000,11000,8,4,DevOps,Male,
2/14/2019,Facebook,Software Engineer,E3,Entry Level Engineer,10.1,"Seattle, WA",185000,110000,55000,25000,0,0,Web Development (Front-End),Male,
2/14/2019,Microsoft,Software Engineer,60,Entry Level Engineer,11.93,"Redmond, WA",125000,114000,6000,5000,15,5,Full Stack,Male,
2/14/2019,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Redmond, WA",161000,132000,9000,20000,3,3,Distributed Systems (Back-End),Male,
2/14/2019,Groupon,Software Engineer,SDE 4,Senior Engineer,47.54,"Seattle, WA",202000,169000,15000,20000,10,6,API Development (Back-End),Male,
2/14/2019,Microsoft,Software Engineer,60,Entry Level Engineer,11.93,"Redmond, WA",175000,135000,25000,15000,4,4,Web Development (Front-End),,
2/15/2019,ABC,Software Engineer,3,,,"Orange, CA",200000,100000,50000,50000,11,2,iOS,Male,
2/15/2019,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Redmond, WA",280000,155000,100000,25000,16,1,Full Stack,Male,
2/15/2019,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Sunnyvale, CA",179000,,,,4,0,Distributed Systems (Back-End),Male,
2/15/2019,UBS,Software Engineer,Associate Director,,,"Wroclaw, DS, Poland",62000,62000,,,12,1,Distributed Systems (Back-End),Male,
2/15/2019,Google,Software Engineer,L5,Senior Engineer,51.02,"Los Angeles, CA",340000,155000,150000,30000,7,5,ML / AI,Male,
2/15/2019,Cisco,Software Engineer,Software Engineer III,Software Engineer,26.8,"San Jose, CA",154000,127000,12000,15000,4,4,Networking,Male,
2/15/2019,eBay,Software Engineer,25,,,"San Francisco, CA",160000,,,,4,4,Security,Male,
2/15/2019,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Mountain View, CA",244000,122000,88000,34000,3,3,API Development (Back-End),Female,
2/15/2019,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Seattle, WA",230000,130000,80000,20000,3,0,Cloud,Male,
2/15/2019,Google,Software Engineer,L5,Senior Engineer,51.02,"Seattle, WA",286000,162000,100000,24000,10,0,ML / AI,Male,
2/15/2019,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",179000,132000,47000,,5,3,Full Stack,Male,
2/15/2019,The Walt Disney Company,Software Engineer,Senior Staff Software Architect,,,"Seattle, WA",252000,178000,38000,35000,16,8,DevOps,Male,
2/15/2019,Facebook,Software Engineer,E6,Staff Engineer,68.18,"Seattle, WA",560000,,,,15,1,DevOps,Male,
2/15/2019,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Pittsburgh, PA",214000,155000,9000,50000,3,1,ML / AI,Male,
2/15/2019,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",190000,135000,25000,30000,5,1,Distributed Systems (Back-End),Male,
2/15/2019,Uber,Software Engineer,Software Engineer II,Software Engineer,30.93,"San Francisco, CA",244000,,,,2,0,Distributed Systems (Back-End),,
2/15/2019,Axon,Software Engineer,Software Engineer,,,"Seattle, WA",150000,120000,20000,12000,7,2,Distributed Systems (Back-End),Male,
2/15/2019,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Sunnyvale, CA",235000,150000,40000,45000,6,0,Testing (SDET),,
2/15/2019,Goldman Sachs,Software Engineer,Analyst,Entry Level Engineer,9.52,"New York, NY",122000,110000,2000,10000,1,1,Full Stack,Male,
2/16/2019,IBM,Software Engineer,Associate Engineer,Entry Level Engineer,10.1,"Toronto, ON, Canada",75000,,,,0,0.5,DevOps,Male,
2/16/2019,Indeed,Software Engineer,L4,Staff Engineer,77,"Austin, TX",450000,190000,230000,30000,12,3,Distributed Systems (Back-End),Male,
2/16/2019,Stripe,Software Engineer,L3,Senior Engineer,55.19,"San Francisco, CA",355000,200000,125000,30000,4,0,Distributed Systems (Back-End),Male,
2/16/2019,Facebook,Software Engineer,E3,Entry Level Engineer,10.1,"Seattle, WA",187000,110000,55000,22000,1,0,Full Stack,Male,
2/16/2019,Oracle,Software Engineer,IC-2,Entry Level Engineer,10,"Boston, MA",215000,130000,50000,25000,1,2,Full Stack,Male,
2/16/2019,eBay,Software Engineer,SE 3,Software Engineer,30.5,"San Jose, CA",230000,150000,65000,15000,3,1,API Development (Back-End),Male,
2/16/2019,Qualcomm,Software Engineer,Staff Engineer,Senior Engineer,46,"San Diego, CA",210000,155000,40000,15000,9,7,ASIC,Male,
2/16/2019,Qualcomm,Software Engineer,Staff Engineer,Senior Engineer,46,"San Diego, CA",190000,140000,35000,15000,10,9,OS level software,Female,
2/16/2019,Pinterest,Software Engineer,L5,Senior Engineer,61.73,"San Francisco, CA",400000,,,,7,1.5,Distributed Systems (Back-End),Male,
2/16/2019,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",350000,132000,217000,1000,10,3,Distributed Systems (Back-End),Male,
2/16/2019,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Redmond, WA",270000,160000,80000,30000,11,11,API Development (Back-End),Male,
2/17/2019,eBay,Software Engineer,SE 3,Software Engineer,30.5,"New York, NY",200000,150000,25000,15000,4,2,Full Stack,,
2/17/2019,eBay,Software Engineer,SE 3,Software Engineer,30.5,"New York, NY",200000,150000,25000,15000,4,2,Full Stack,,
2/17/2019,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Santa Clara, CA",240000,155000,85000,,3,3,Distributed Systems (Back-End),Male,
2/17/2019,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Mountain View, CA",189000,129000,41000,19000,1,0,Mobile (iOS + Android),Male,
2/17/2019,Microsoft,Software Engineer,62,Software Engineer,31.25,"Redmond, WA",205000,145000,35000,25000,3,3,iOS,,
2/17/2019,Salesforce,Software Engineer,Lead MTS,Senior Engineer,61,"San Francisco, CA",250000,,,,9,3,API Development (Back-End),Male,
2/17/2019,Amazon,Software Engineer,SDE III,Senior Engineer,55.98,"Sunnyvale, CA",350000,,,,5,5,Full Stack,,
2/17/2019,Cimpress,Software Engineer,Software Engineer II,,,"Waltham, MA",122000,115000,7000,,3,1,Full Stack,Male,
2/17/2019,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",132000,,,,1,1,Full Stack,,
2/17/2019,SAP,Software Engineer,T3,Staff Engineer,66,"Vancouver, BC, Canada",112000,102000,,10000,5,5,Full Stack,,
2/18/2019,Yandex,Software Engineer,G16,Software Engineer,31.58,"Saint Petersburg, SP, Russia",35000,27000,4000,,6,1,API Development (Back-End),Male,
2/18/2019,Facebook,Software Engineer,E3,Entry Level Engineer,10.1,"New York, NY",120000,,,,0,0,Full Stack,Male,
2/18/2019,Facebook,Software Engineer,E4,Software Engineer,30.3,"Menlo Park, CA",232000,152000,70000,15000,1,1,Distributed Systems (Back-End),Male,
2/18/2019,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Vancouver, BC, Canada",180000,135000,15000,20000,15,5,Mobile (iOS + Android),Male,
2/18/2019,Capital One,Software Engineer,Software Eng,Software Engineer,20.19,"Vienna, VA",121000,115000,1000,5000,2,2,ML / AI,,
2/18/2019,Yelp,Software Engineer,IC3,Senior Engineer,53.54,"San Francisco, CA",185000,135000,50000,,10,3,Security,Male,
2/18/2019,Yahoo,Software Engineer,Principal Software Engineer,Senior Engineer,58.51,"San Francisco, CA",270000,190000,60000,20000,10,6,Full Stack,Male,
2/18/2019,Facebook,Software Engineer,E5,Senior Engineer,50.51,"Seattle, WA",320000,170000,135000,17000,19,2,Distributed Systems (Back-End),Male,
2/18/2019,Badoo,Software Engineer,4,,,"London, EN, United Kingdom",103000,69000,,34000,2,1,Android,Male,
2/18/2019,LinkedIn,Software Engineer,Senior Software Engineer,Software Engineer,30.3,"New York, NY",263000,170000,75000,17000,8,0,DevOps,Male,
2/18/2019,Alibaba,Software Engineer,Senior,,,"Beijing, BJ, China",160000,70000,60000,30000,3,2,ML / AI,Male,
2/18/2019,The Home Depot,Software Engineer,L1,,,"Atlanta, GA",85000,85000,,,1,1,Full Stack,Male,
2/18/2019,IBM,Software Engineer,Associate Engineer,Entry Level Engineer,10.1,"Washington, DC",100000,,,,1,1,Full Stack,,
2/18/2019,Dropbox,Software Engineer,IC2,Software Engineer,30.3,"Seattle, WA",238000,,,,4,0,Web Development (Front-End),Male,
2/18/2019,SAP,Software Engineer,T2,Senior Engineer,43,"Palo Alto, CA",131000,118000,2000,13000,1,1,Full Stack,Male,
2/19/2019,Uber,Software Engineer,Senior Software Engineer II,Staff Engineer,65.46,"Amsterdam, NH, Netherlands",216000,,,,13,1,Distributed Systems (Back-End),Male,
2/19/2019,IBM,Software Engineer,Advisory Engineer,Senior Engineer,50.51,"Austin, TX",115000,,,,20,20,Security,Female,
2/19/2019,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Raleigh, NC",193000,140000,38000,15000,5,0,ML / AI,Male,
2/19/2019,Yahoo,Software Engineer,Senior Software Engineer,Senior Engineer,42.02,"Dulles, VA",185000,145000,18000,22000,8,6,Android,Male,
2/19/2019,Uber,Software Engineer,Senior Software Engineer II,Staff Engineer,65.46,"Palo Alto, CA",480000,205000,240000,35000,10,4,Web Development (Front-End),,
2/19/2019,Microsoft,Software Engineer,SDE,Entry Level Engineer,3.98,"Seattle, WA",125000,,,,1,0,Distributed Systems (Back-End),,
2/19/2019,Pocket Gems,Software Engineer,3,,,"San Francisco, CA",215000,155000,50000,10000,3,3,Full Stack,Male,
2/19/2019,Rackspace,Software Engineer,IV,,,Remote,155000,140000,5000,10000,17,3,Distributed Systems (Back-End),Male,
2/19/2019,Facebook,Software Engineer,E5,Senior Engineer,50.51,"Seattle, WA",448000,185000,213000,50000,8,2.5,Full Stack,Male,
2/19/2019,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",150000,108000,18000,24000,1,0,Distributed Systems (Back-End),,
2/19/2019,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",110000,,,,1,1.5,Distributed Systems (Back-End),,
2/20/2019,Shutterfly,Software Engineer,L3,,,"Redwood City, CA",165000,135000,20000,10000,7,5,Testing (SDET),Male,
2/20/2019,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Santa Clara, CA",225000,153000,37000,35000,5,0.1,API Development (Back-End),Male,
2/20/2019,Cisco,Software Engineer,Software Engineer IV,Software Engineer,39.18,"Grand Rapids, MI",190000,130000,40000,20000,9,2,Distributed Systems (Back-End),Male,
2/20/2019,Capital One,Software Engineer,Software Eng,Software Engineer,20.19,"Mc Lean, VA",127000,117000,2000,8000,2,1,Full Stack,Male,
2/20/2019,SAP,Software Engineer,T1,Entry Level Engineer,15,"Seattle, WA",145000,105000,33000,7000,1,1,Security,Male,
2/20/2019,Yelp,Software Engineer,IC3,Senior Engineer,53.54,"San Francisco, CA",170000,135000,38000,,3,1,Mobile (iOS + Android),Male,
2/20/2019,Adobe,Software Engineer,Software Engineer 3,Software Engineer,23.76,"San Jose, CA",173000,,,,2,5,Distributed Systems (Back-End),Female,
2/20/2019,VMware,Software Engineer,P5,,,"Palo Alto, CA",170000,,,,16,7,API Development (Back-End),,
2/20/2019,Facebook,Software Engineer,E5,Senior Engineer,50.51,"Menlo Park, CA",345000,183000,135000,27000,5,1,Full Stack,Male,
2/20/2019,Accenture,Software Engineer,Software Engineer Analyst,Software Engineer,26.79,"Washington, DC",78000,,,,0,0,DevOps,Male,
2/21/2019,Zillow,Software Engineer,P2,Entry Level Engineer,14,"Seattle, WA",172000,140000,25000,7000,2,0,ML / AI,Male,
2/21/2019,Oracle,Software Engineer,IC-3,Software Engineer,30,"Colorado Springs, CO",145000,130000,13000,,5,0,Full Stack,Male,
